ACTION,AS_units,AS_COMPLETION,ROW_COMPLETION,skip,checked_for_duplicates,row_number,Source,Source DOI,author,author_doi,data_location,sample,notes,notes1,notes2,treatment_OLD,treatment,treatment_NOTES,treatment_level,latitude,longitude,lat_lon_notes,location,elevation_m,lyrtop_cm,lyrbot_cm,horizon,soil_type,ecosystem,wetland_type,aridity,plant_species,MAP(mm),MAT(°),Duration (year),year_sampled,fraction_scheme,aggregate_size_OLD,aggregate_size,amino_sugars,AS_units,gluN,gluN_units,murA,murA_units,galN,galN_units,manN,manN_units,microbial_necromass_C,MNC_units,fungal_necromass_C,FNC_units,bacterial_necromass_C,BNC_units,bacterial_biomass_C,bbc_units,fungal_biomass_C,fbc_units,microbial_biomass_C,MBC-units,microbial_biomass_N,MBN-units,soc,SOC_units,soil_C,TC_units,soil_N,TN_units,soil C/N,pH,pH_method,clay,silt,sand,texture,bulk_density,Method,other_variables_available
checked?,,,,,,2,,,,,,,,,,check,,,check,,,,,,,,,,checked,checked,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GET UNITS,,GET UNITS,,GET UNITS,CHECK UNITS,,CHECK UNITS,,,,,,,,,,,
,,,,,Y,2,,,,,,,,,,,,,,,,,,m,cm,cm,,,,,,,,,,,bulk vs. aggregate,,,,,ug/g = mg/kg,,,,,,,,mg/kg,,mg/kg,,mg/kg,,,ug/g,,ug/g,mg/kg soil,,mg/kg soil,,,,mg/g = g/kg,,mg/g = g/kg,,,,,,,,,gcm3,,
,,,,,,3,STUDY,,,,,,,,,EXPERIMENTAL,,,,,,,,,,,,,,,,,,,,,,,,AMINO SUGARS,,,,,,,,,,NECROMASS,,,,,,BIOMASS,,,,,,,,SOIL,,,,,,,,,,,,,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,active restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,1960,mg/kg,1250,mg/kg,60,mg/kg,610,mg/kg,30,mg/kg,13130,mg/kg,10540,mg/kg,2590,mg/kg,N/A,N/A,N/A,N/A,1340,mg/kg,220,mg/kg,28.74,mg/g,N/A,N/A,2.41,mg/g,N/A,6.52,N/A,2.76,48.88,48.36,N/A,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,active restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,2300,mg/kg,1590,mg/kg,70,mg/kg,620,mg/kg,30,mg/kg,16430,mg/kg,13460,mg/kg,2970,mg/kg,N/A,N/A,N/A,N/A,640,mg/kg,160,mg/kg,40.04,mg/g,N/A,N/A,3.1,mg/g,N/A,7.04,N/A,5,63.66,31.34,N/A,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,active restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,1970,mg/kg,1340,mg/kg,40,mg/kg,570,mg/kg,20,mg/kg,13310,mg/kg,11510,mg/kg,1800,mg/kg,N/A,N/A,N/A,N/A,560,mg/kg,130,mg/kg,31.87,mg/g,N/A,N/A,2.5,mg/g,N/A,6.83,N/A,3.79,57.08,39.13,N/A,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,active restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,2470,mg/kg,1670,mg/kg,70,mg/kg,700,mg/kg,30,mg/kg,17200,mg/kg,14190,mg/kg,3010,mg/kg,N/A,N/A,N/A,N/A,690,mg/kg,120,mg/kg,36.94,mg/g,N/A,N/A,2.92,mg/g,N/A,6.77,N/A,5.83,69.23,24.94,N/A,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,active restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,4000,mg/kg,2510,mg/kg,80,mg/kg,1360,mg/kg,50,mg/kg,25220,mg/kg,21590,mg/kg,3630,mg/kg,N/A,N/A,N/A,N/A,1350,mg/kg,160,mg/kg,55.25,mg/g,N/A,N/A,4.27,mg/g,N/A,6.24,N/A,4.63,57.43,37.94,N/A,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,active restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,4070,mg/kg,2560,mg/kg,90,mg/kg,1360,mg/kg,60,mg/kg,26020,mg/kg,21830,mg/kg,4190,mg/kg,N/A,N/A,N/A,N/A,1910,mg/kg,210,mg/kg,76.64,mg/g,N/A,N/A,5.83,mg/g,N/A,6.22,N/A,4.71,69.16,26.13,N/A,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,active restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,4230,mg/kg,2630,mg/kg,100,mg/kg,1450,mg/kg,60,mg/kg,26720,mg/kg,22410,mg/kg,4310,mg/kg,N/A,N/A,N/A,N/A,2450,mg/kg,330,mg/kg,76.79,mg/g,N/A,N/A,5.53,mg/g,N/A,6.02,N/A,4.86,67.94,27.2,N/A,,,
,,,,,,,,,Pan et al. 2026,https://doi.org/10.1111/gcb.70906,Figshare,,,,,,,,,,,N/A,N/A,N/A,0,23,N/A,Chromic Luvisols,cropland,N/A,,Triticum aestivum,,,,2022,bulk soil,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Fungal necromass-C,,Bacterial necromass-C,,,,,,MBC,,,,SOC,,,,,,,pH,,,,,,,,
,,,,,,,,,Pan et al. 2026,https://doi.org/10.1111/gcb.70906,Figshare,,,,,fertilization,amendment,"Cattle-derived farmyard manure was applied at a rate of 35 t ha−1 year−1, supplying approximately 3250 kg C ha−1 year−1, 144 kg N ha−1 year−1, 48 kg P ha−1 year−1 and 326 kg K ha−1 year−1",FYM,51°45′34″ N,0°22′22″ W,N/A,N/A,N/A,0,23,N/A,Chromic Luvisols,cropland,N/A,,Triticum aestivum,,,,2022,bulk soil,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5804.342324,mg/kg,4325.800747,mg/kg,,,,,727.94,mg/kg,,,28.39333,g/kg,,,,,,7.3,,25,50,25,,,,
,,,,,,,,,Pan et al. 2026,https://doi.org/10.1111/gcb.70906,Figshare,,,,,fertilization,amendment,"Cattle-derived farmyard manure was applied at a rate of 35 t ha−1 year−1, supplying approximately 3250 kg C ha−1 year−1, 144 kg N ha−1 year−1, 48 kg P ha−1 year−1 and 326 kg K ha−1 year−1",FYM,51°45′34″ N,0°22′22″ W,N/A,N/A,N/A,0,23,N/A,Chromic Luvisols,cropland,N/A,,Triticum aestivum,,,,2022,bulk soil,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5615.008863,mg/kg,4111.324376,mg/kg,,,,,773.47,mg/kg,,,28.59813,g/kg,,,,,,7.34,,25,50,25,,,,
