ACTION,AS_units,AS_COMPLETION,ROW_COMPLETION,skip,checked_for_duplicates,row_number,Source,Source DOI,author,author_doi,data_location,sample,notes,notes1,notes2,treatment_OLD,treatment,treatment_NOTES,treatment_level,latitude,longitude,lat_lon_notes,location,elevation_m,lyrtop_cm,lyrbot_cm,horizon,soil_type,ecosystem,wetland_type,aridity,plant_species,MAP(mm),MAT(°),Duration (year),year_sampled,fraction_scheme,aggregate_size_OLD,aggregate_size,amino_sugars,AS_units,gluN,gluN_units,murA,murA_units,galN,galN_units,manN,manN_units,microbial_necromass_C,MNC_units,fungal_necromass_C,FNC_units,bacterial_necromass_C,BNC_units,bacterial_biomass_C,bbc_units,fungal_biomass_C,fbc_units,microbial_biomass_C,MBC-units,microbial_biomass_N,MBN-units,soc,SOC_units,soil_C,TC_units,soil_N,TN_units,soil C/N,pH,pH_method,clay,silt,sand,texture,bulk_density,Method,other_variables_available
checked?,,,,,,2,,,,,,,,,,check,,,check,,,,,,,,,,checked,checked,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GET UNITS,,GET UNITS,,GET UNITS,CHECK UNITS,,CHECK UNITS,,,,,,,,,,,
,,,,,Y,2,,,,,,,,,,,,,,,,,,m,cm,cm,,,,,,,,,,,bulk vs. aggregate,,,,,ug/g = mg/kg,,,,,,,,mg/kg,,mg/kg,,mg/kg,,,ug/g,,ug/g,mg/kg soil,,mg/kg soil,,,,mg/g = g/kg,,mg/g = g/kg,,,,,,,,,gcm3,,
,,,,,,3,STUDY,,,,,,,,,EXPERIMENTAL,,,,,,,,,,,,,,,,,,,,,,,,AMINO SUGARS,,,,,,,,,,NECROMASS,,,,,,BIOMASS,,,,,,,,SOIL,,,,,,,,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,N,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,aggregate,< 53 μm,<0.053mm,N/A,N/A,151.589,mg/kg,15.285,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,60.1,mg/kg,11,mg/kg,,,,,0.73,g/kg,,8.56,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,NP,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,bulk soil,N/A,N/A,N/A,N/A,210.888,mg/kg,16.911,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,59.6,mg/kg,11.2,mg/kg,,,,,0.75,g/kg,,8.5,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,NP,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,aggregate,250–2000 μm,0.250-2mm,N/A,N/A,251.959,mg/kg,14.634,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,59.6,mg/kg,11.2,mg/kg,,,,,0.75,g/kg,,8.5,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,NP,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,aggregate,53–250 μm,0.053-0.250mm,N/A,N/A,213.753,mg/kg,21.138,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,59.6,mg/kg,11.2,mg/kg,,,,,0.75,g/kg,,8.5,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,NP,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,aggregate,< 53 μm,<0.053mm,N/A,N/A,171.51,mg/kg,15.935,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,59.6,mg/kg,11.2,mg/kg,,,,,0.75,g/kg,,8.5,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,M,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,bulk soil,N/A,N/A,N/A,N/A,428.327,mg/kg,27.317,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,110.7,mg/kg,17.7,mg/kg,,,,,1.17,g/kg,,8.41,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,M,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,aggregate,250–2000 μm,0.250-2mm,N/A,N/A,534.019,mg/kg,23.74,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,110.7,mg/kg,17.7,mg/kg,,,,,1.17,g/kg,,8.41,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,M,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,aggregate,53–250 μm,0.053-0.250mm,N/A,N/A,321.788,mg/kg,32.52,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,110.7,mg/kg,17.7,mg/kg,,,,,1.17,g/kg,,8.41,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,M,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,aggregate,< 53 μm,<0.053mm,N/A,N/A,255.832,mg/kg,21.789,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,110.7,mg/kg,17.7,mg/kg,,,,,1.17,g/kg,,8.41,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,NM,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,bulk soil,N/A,N/A,N/A,N/A,441.453,mg/kg,27.642,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,118.5,mg/kg,18.8,mg/kg,,,,,1.16,g/kg,,8.5,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,NM,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,aggregate,250–2000 μm,0.250-2mm,N/A,N/A,555.25,mg/kg,23.089,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,118.5,mg/kg,18.8,mg/kg,,,,,1.16,g/kg,,8.5,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,NM,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,aggregate,53–250 μm,0.053-0.250mm,N/A,N/A,390.666,mg/kg,36.423,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,118.5,mg/kg,18.8,mg/kg,,,,,1.16,g/kg,,8.5,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,NM,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,aggregate,< 53 μm,<0.053mm,N/A,N/A,273.052,mg/kg,22.764,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,118.5,mg/kg,18.8,mg/kg,,,,,1.16,g/kg,,8.5,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,NPM,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,bulk soil,N/A,N/A,N/A,N/A,454.579,mg/kg,27.968,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,117,mg/kg,18.7,mg/kg,,,,,1.17,g/kg,,8.42,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,NPM,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,aggregate,250–2000 μm,0.250-2mm,N/A,N/A,553.012,mg/kg,23.74,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,117,mg/kg,18.7,mg/kg,,,,,1.17,g/kg,,8.42,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,NPM,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,aggregate,53–250 μm,0.053-0.250mm,N/A,N/A,365.724,mg/kg,34.472,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,117,mg/kg,18.7,mg/kg,,,,,1.17,g/kg,,8.42,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,NPM,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,aggregate,< 53 μm,<0.053mm,N/A,N/A,277.609,mg/kg,23.74,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,117,mg/kg,18.7,mg/kg,,,,,1.17,g/kg,,8.42,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,NDM,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,bulk soil,N/A,N/A,N/A,N/A,676.413,mg/kg,34.797,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,161.4,mg/kg,23.1,mg/kg,,,,,1.39,g/kg,,8.38,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,NDM,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,aggregate,250–2000 μm,0.250-2mm,N/A,N/A,828.197,mg/kg,30.244,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,161.4,mg/kg,23.1,mg/kg,,,,,1.39,g/kg,,8.38,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,NDM,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,aggregate,53–250 μm,0.053-0.250mm,N/A,N/A,454.14,mg/kg,40.976,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,161.4,mg/kg,23.1,mg/kg,,,,,1.39,g/kg,,8.38,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,NDM,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,aggregate,< 53 μm,<0.053mm,N/A,N/A,352.354,mg/kg,27.317,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,161.4,mg/kg,23.1,mg/kg,,,,,1.39,g/kg,,8.38,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,NPDM,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,bulk soil,N/A,N/A,N/A,N/A,684.6,mg/kg,36.098,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,162.1,mg/kg,23.2,mg/kg,,,,,1.34,g/kg,,8.38,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,NPDM,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,aggregate,250–2000 μm,0.250-2mm,N/A,N/A,825.032,mg/kg,30.244,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,162.1,mg/kg,23.2,mg/kg,,,,,1.34,g/kg,,8.38,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,NPDM,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,aggregate,53–250 μm,0.053-0.250mm,N/A,N/A,462.326,mg/kg,42.276,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,162.1,mg/kg,23.2,mg/kg,,,,,1.34,g/kg,,8.38,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Huang et al. 2022,https://doi.org/10.1007/s00374-022-01684-3,,,,,,fertilization,amendment,N/A,NPDM,39.21,111.26,N/A,"Xinzhou City, Shanxi Province, China",1082,0,20,N/A,N/A,cropland,N/A,,N/A,,,,2021,aggregate,< 53 μm,<0.053mm,N/A,N/A,365.097,mg/kg,29.594,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,162.1,mg/kg,23.2,mg/kg,,,,,1.34,g/kg,,8.38,,,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,4730.899,mg/kg,164.312,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,3600.877,mg/kg,501.719,mg/kg,,,,,6.736,g/kg,,7.8,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,4718.647,mg/kg,153.93,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,3250.914,mg/kg,705.652,mg/kg,,,,,6.998,g/kg,,7.8,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,4724.773,mg/kg,159.121,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,2542.943,mg/kg,728.576,mg/kg,,,,,6.867,g/kg,,7.8,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,3823.683,mg/kg,128.885,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,2208.104,mg/kg,841.36,mg/kg,,,,,5.506,g/kg,,7.8,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,4008.059,mg/kg,133.655,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,2405.448,mg/kg,678.613,mg/kg,,,,,5.615,g/kg,,7.8,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,3915.871,mg/kg,131.27,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,2512.525,mg/kg,674.229,mg/kg,,,,,5.56,g/kg,,7.8,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,5316.403,mg/kg,132.984,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,2396.789,mg/kg,616.42,mg/kg,,,,,6.622,g/kg,,7.8,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,5685.313,mg/kg,149.244,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,1220.832,mg/kg,737.666,mg/kg,,,,,6.751,g/kg,,7.8,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,5500.858,mg/kg,141.114,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,1215.25,mg/kg,646.863,mg/kg,,,,,6.686,g/kg,,7.8,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,1110.452,mg/kg,32.913,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,776.91,mg/kg,213.752,mg/kg,,,,,1.983,g/kg,,8.2,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,1163.138,mg/kg,38.136,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,679.526,mg/kg,176.089,mg/kg,,,,,1.988,g/kg,,8.2,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,1136.795,mg/kg,35.525,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,633.823,mg/kg,197.841,mg/kg,,,,,1.985,g/kg,,8.2,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,1117.094,mg/kg,32.125,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,650.46,mg/kg,172.753,mg/kg,,,,,1.795,g/kg,,8.2,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,1114.91,mg/kg,32.559,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,630.066,mg/kg,190.299,mg/kg,,,,,1.833,g/kg,,8.2,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,1116.002,mg/kg,32.342,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,657.549,mg/kg,180.169,mg/kg,,,,,1.814,g/kg,,8.2,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,1858.27,mg/kg,48.871,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,1100.054,mg/kg,273.041,mg/kg,,,,,2.775,g/kg,,8.2,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,1882.911,mg/kg,53.755,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,1021.119,mg/kg,323.483,mg/kg,,,,,2.769,g/kg,,8.2,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,1870.591,mg/kg,51.313,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,1089.618,mg/kg,276.512,mg/kg,,,,,2.772,g/kg,,8.2,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,500.855,mg/kg,12.687,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,257.841,mg/kg,84.452,mg/kg,,,,,1.263,g/kg,,8.4,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,500.492,mg/kg,13.012,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,274.543,mg/kg,75.332,mg/kg,,,,,1.255,g/kg,,8.4,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,500.674,mg/kg,12.85,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,313.891,mg/kg,64.263,mg/kg,,,,,1.259,g/kg,,8.4,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,441.519,mg/kg,10.803,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,260.257,mg/kg,82.345,mg/kg,,,,,1.068,g/kg,,8.4,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,450.859,mg/kg,8.839,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,210.224,mg/kg,73.839,mg/kg,,,,,1.063,g/kg,,8.4,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,446.189,mg/kg,9.821,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,242.681,mg/kg,83.883,mg/kg,,,,,1.065,g/kg,,8.4,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,474.584,mg/kg,6.422,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,326.329,mg/kg,107.216,mg/kg,,,,,1.047,g/kg,,8.4,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,470.869,mg/kg,6.65,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,349.123,mg/kg,111.536,mg/kg,,,,,1.038,g/kg,,8.4,,11.7,,,,,,
,,,,,,,Han et al. 2023,https://doi.org/10.1111/geb.13776,Wang et al. 2021,,,,,,,,,,,36.08,109.13,,"Ziwuling, china",,,,,,,,,,,,,,,,,N/A,N/A,472.726,mg/kg,6.536,mg/kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,303.512,mg/kg,96.107,mg/kg,,,,,1.043,g/kg,,8.4,,11.7,,,,,,
